Radius,Surfdens_H2,Surfdens_HI,Vrot,V_scatter,sigma_v_hi,sigma_v_h2
0.33346214297368376,505.3770707294812,2.010201654096355,61.79662754496119,73.78463993909338,7.478194566020113,22.196639469222642
0.3777078213460748,421.3475316085855,2.1251324011196187,71.27830404801583,94.76446014163602,21.2128357070294,20.888802936366993
0.427231981919762,341.53692518982444,2.205653617551896,81.20222016791783,83.44598411169669,20.820081819629873,14.129501827444182
0.48011320513638606,275.4058190126703,2.3664732190672106,90.48869197130827,76.31159716887254,20.17035615895105,22.460991596291954
0.5346306716615079,195.60041760487536,2.570861159452482,98.6626568511431,69.64616922320856,4.688338618854232,21.44441365796999
0.5907693928541574,136.7085204853555,2.776793366018827,99.51419077551353,69.60376849703997,18.62098252521537,27.904943845588992
0.6475778292396012,103.44619614494313,2.8904730106946914,94.5012062053259,68.98691540353337,17.759231206085964,28.685479602237827
0.7051342421517874,85.73782246816822,2.962223133582658,89.72720600021353,63.511928205277826,11.638967307589146,28.016532420469844
0.7631959500420447,76.369929219145,3.0471721323779115,89.503701107971,56.370116562949086,11.95476962514965,26.584685484469656
0.8216962355920716,71.82092373145531,3.1549310513631506,89.7823750159552,48.24857705493275,14.359010397906813,25.281087325065823
0.8803623367367461,64.28610047621963,3.2129363929198766,91.32308229785454,43.095865954519894,14.673059896044911,23.900707332231786
0.9393459754301302,59.241659420778404,3.196067499578403,94.28678458739235,40.27078722572137,14.443198976695225,21.530942415717867
0.9985773984340521,53.6070997642215,3.1060066760383656,95.45950403539614,37.69339053138478,15.448932935270344,21.745373790464456
1.057846022320586,46.3920205766131,2.9930700041460554,97.8911936761984,32.86477606342593,15.313675704812002,21.078607515429894
1.1174317660982056,38.878987549473955,2.892513041739879,101.54817822630746,30.572131371625577,14.266110451188581,20.71973476433167
1.1769777720805334,32.61628958958558,2.772273751987224,103.5440164050994,31.77502383722106,12.53027385071385,18.946172549272504
1.2367568002481029,26.46398632693803,2.6377644348486258,107.04496010896686,31.361706988370504,12.269662672164783,18.281398666940607
1.2965183958933093,21.71203128944789,2.5146575225395447,110.37353221146685,35.98764549214749,12.087561412721229,15.962686860705597
1.3564178794477948,20.88986576140242,2.4425174375219165,115.06271214828695,40.209177653149304,12.345943661600847,14.555790155382354
1.4163428134145284,19.647426156963537,2.3898698005524626,119.83665611865305,43.74604303756245,14.18298318022724,13.364796946331332
1.4763375026058203,18.009377524219236,2.3922533633834444,123.32190264508353,48.144366059319225,8.972940778074676,12.522030839142884
1.5364133355634104,17.790222006552305,2.440867380935034,127.54749482233282,50.36046379123767,8.894891151070121,12.082777820532517
1.596469321283152,17.632243626417186,2.514982182367556,131.2014206413474,47.676714946289934,10.895074053101482,11.921490399068306
1.6566196460816844,17.5120683023793,2.663038140781821,134.81113959419426,45.38304844160683,14.685476201162897,11.758968294757155
